,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nmf__max_iter,param_nmf__n_components,param_svm__C,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,7.165341806411743,0.6320241506677258,0.14953165054321288,0.01488963463751938,2000,10,1000.0,0.1,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 0.1}",0.9268929503916449,0.9007832898172323,0.9150326797385621,0.9176470588235294,0.9267973856209151,0.9174306728783768,0.009593774649215663,522
1,7.196628189086914,0.779497602154108,0.1397705078125,0.004937386155800241,2000,10,1000.0,0.16681005372000587,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 0.16681005372000587}",0.9268929503916449,0.9033942558746736,0.9202614379084967,0.918954248366013,0.9281045751633987,0.9195214935408453,0.008820031130777162,491
2,7.220267724990845,0.5999143760243167,0.14017796516418457,0.006934152292480252,2000,10,1000.0,0.2782559402207124,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 0.2782559402207124}",0.9281984334203656,0.9151436031331592,0.918954248366013,0.918954248366013,0.9320261437908497,0.92265533541528,0.006361763869814556,438
3,7.371688652038574,0.6063818380699093,0.134989595413208,0.007184205523376151,2000,10,1000.0,0.46415888336127786,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 0.46415888336127786}",0.9255874673629243,0.912532637075718,0.9215686274509803,0.9241830065359478,0.9424836601307189,0.9252710797112579,0.009731731630043504,372
4,7.713734102249146,0.6727933422547652,0.12819952964782716,0.003401026058531763,2000,10,1000.0,0.774263682681127,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 0.774263682681127}",0.9386422976501305,0.9151436031331592,0.9241830065359478,0.9241830065359478,0.9437908496732026,0.9291885527056776,0.01048782116182133,151
5,8.778044509887696,0.8078494567845573,0.1264057159423828,0.012868072931358564,2000,10,1000.0,1.291549665014884,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 1.291549665014884}",0.9425587467362925,0.9177545691906005,0.9241830065359478,0.9267973856209151,0.9477124183006536,0.9318012252768819,0.01139538982819817,31
6,8.879018783569336,0.7790523821581788,0.12104449272155762,0.007971895713432642,2000,10,1000.0,2.1544346900318834,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 2.1544346900318834}",0.9425587467362925,0.9164490861618799,0.9202614379084967,0.9267973856209151,0.9464052287581699,0.9304943770371509,0.011952867465501765,82
7,9.621919631958008,0.749156502445633,0.12110190391540528,0.0056241591709397885,2000,10,1000.0,3.593813663804626,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 3.593813663804626}",0.9386422976501305,0.9281984334203656,0.9163398692810457,0.9241830065359478,0.9529411764705882,0.9320609566716156,0.012676209219457826,29
8,10.283646965026856,0.6463783010021799,0.11651301383972168,0.004039834761367111,2000,10,1000.0,5.994842503189409,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 5.994842503189409}",0.9268929503916449,0.9190600522193212,0.9150326797385621,0.9098039215686274,0.9529411764705882,0.9247461560777488,0.015162596562496466,393
9,11.076196479797364,0.7697806284146294,0.12291965484619141,0.005048740753630767,2000,10,1000.0,10.0,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1000.0, 'svm__gamma': 10.0}",0.9268929503916449,0.912532637075718,0.9045751633986928,0.9084967320261438,0.9372549019607843,0.9179504769705968,0.012249522038316418,514
10,6.733148813247681,0.4858274007787435,0.13950662612915038,0.003158693097374707,2000,10,1668.100537200059,0.1,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1668.100537200059, 'svm__gamma': 0.1}",0.9255874673629243,0.9007832898172323,0.9176470588235294,0.9176470588235294,0.9267973856209151,0.9176924520896261,0.00928606451222649,515
11,7.124619483947754,0.6527836911814452,0.1388540744781494,0.010926154131812763,2000,10,1668.100537200059,0.16681005372000587,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1668.100537200059, 'svm__gamma': 0.16681005372000587}",0.922976501305483,0.9073107049608355,0.918954248366013,0.9215686274509803,0.9267973856209151,0.9195214935408453,0.006610469972621023,491
12,7.494803237915039,0.6167607898712263,0.14310293197631835,0.021429881961398917,2000,10,1668.100537200059,0.2782559402207124,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1668.100537200059, 'svm__gamma': 0.2782559402207124}",0.9255874673629243,0.9099216710182768,0.9228758169934641,0.9215686274509803,0.9294117647058824,0.9218730695063055,0.006550767742136578,449
13,7.82757339477539,0.618273242595774,0.133011531829834,0.005700142324056382,2000,10,1668.100537200059,0.46415888336127786,"{'nmf__max_iter': 2000, 'nmf__n_components': 10, 'svm__C': 1668.100537200059, 'svm__gamma': 0.46415888336127786}",0.9295039164490861,0.9151436031331592,0.9228758169934641,0.9267973856209151,0.9411764705882353,0.927099438556972,0.008541856478682884,271
