avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,num_units_in_layer2,l2_regulizer,dropout_rate,optimizer,num_layers
0.9141780376434326,0.016999191387781453,0.34897382855415343,64.0,64.0,1.0,0.1,adam,1
0.8763965010643006,0.02247141174142087,0.7603652477264404,64.0,64.0,1.0,0.1,sgd,1
0.8964425563812256,0.03537457682434895,0.3613067865371704,64.0,64.0,1.0,0.2,adam,1
0.8934215068817138,0.017606723379933402,0.6676252484321594,64.0,64.0,1.0,0.2,sgd,1
0.89482501745224,0.03753200559613882,0.3702221095561981,64.0,64.0,1.0,0.30000000000000004,adam,1
0.8887576103210449,0.01620549805535501,0.6749164223670959,64.0,64.0,1.0,0.30000000000000004,sgd,1
0.8833919405937195,0.03199435853976131,0.39881441593170164,64.0,64.0,1.0,0.4,adam,1
0.8817537188529968,0.02385547297052,0.7128597617149353,64.0,64.0,1.0,0.4,sgd,1
0.9209319710731506,0.024327028674010633,0.362091600894928,64.0,64.0,1.0,0.5,adam,1
0.8920210123062133,0.013248524803729414,0.646085798740387,64.0,64.0,1.0,0.5,sgd,1
0.8903854966163636,0.03162742913376551,0.3986873686313629,64.0,64.0,1.0,0.6,adam,1
0.8833952069282531,0.022669053748870533,0.6508726835250854,64.0,64.0,1.0,0.6,sgd,1
0.9372644901275635,0.009411863349089883,0.2380717933177948,64.0,64.0,0.1,0.1,adam,1
0.9284047722816468,0.007171232827276775,2.6040682792663574,64.0,64.0,0.1,0.1,sgd,1
0.9295656442642212,0.01371941760726121,0.24976303577423095,64.0,64.0,0.1,0.2,adam,1
0.9314350724220276,0.00966160813701906,2.897868776321411,64.0,64.0,0.1,0.2,sgd,1
0.9407615303993225,0.008446841759149434,0.2508789449930191,64.0,64.0,0.1,0.30000000000000004,adam,1
0.9232692241668701,0.01088398940894043,2.523752737045288,64.0,64.0,0.1,0.30000000000000004,sgd,1
0.9314375281333923,0.01213961939711638,0.26101876199245455,64.0,64.0,0.1,0.4,adam,1
0.9216399788856506,0.011177820385782043,2.7900504589080812,64.0,64.0,0.1,0.4,sgd,1
0.9314369797706604,0.01543278534643377,0.27092639207839964,64.0,64.0,0.1,0.5,adam,1
0.9279363989830017,0.008720856716315072,2.1914521217346192,64.0,64.0,0.1,0.5,sgd,1
0.9216334342956543,0.020094681414680512,0.2889369487762451,64.0,64.0,0.1,0.6,adam,1
0.9295694589614868,0.007444870748493414,2.3177857875823973,64.0,64.0,0.1,0.6,sgd,1
0.9461282849311828,0.014954323409094009,0.1861439287662506,64.0,64.0,0.01,0.1,adam,1
0.9258368730545044,0.008949407270351548,1.1909293413162232,64.0,64.0,0.01,0.1,sgd,1
0.9510225653648376,0.008133566625384945,0.1836879700422287,64.0,64.0,0.01,0.2,adam,1
0.9265348076820373,0.008855943540314444,1.2006282806396484,64.0,64.0,0.01,0.2,sgd,1
0.9498576164245606,0.005686661918411294,0.1802430659532547,64.0,64.0,0.01,0.30000000000000004,adam,1
0.9323661088943481,0.012288156590873258,1.1779595613479614,64.0,64.0,0.01,0.30000000000000004,sgd,1
0.9414622068405152,0.01266101586210719,0.19357106685638428,64.0,64.0,0.01,0.4,adam,1
0.929338800907135,0.0077421737885678184,1.183099365234375,64.0,64.0,0.01,0.4,sgd,1
0.9391303777694702,0.008071505829518707,0.20163679420948027,64.0,64.0,0.01,0.5,adam,1
0.9223373651504516,0.009024462250200102,1.1819394826889038,64.0,64.0,0.01,0.5,sgd,1
