avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,l2_regulizer,dropout_rate,optimizer,num_layers
0.8996865153312683,0.004019922232450966,0.2629619836807251,64.0,1.0,0.1,adam,0
0.8117032289505005,0.012353191751730185,0.5060821592807769,64.0,1.0,0.1,sgd,0
0.9009404420852661,0.00610726628365448,0.2640655845403671,64.0,1.0,0.2,adam,0
0.8098223567008972,0.01858686225260594,0.5118138313293457,64.0,1.0,0.2,sgd,0
0.9015673875808716,0.0037032379086763905,0.2639888495206833,64.0,1.0,0.30000000000000004,adam,0
0.807941484451294,0.007886300067904518,0.5095507264137268,64.0,1.0,0.30000000000000004,sgd,0
0.9011494278907776,0.005708048192169727,0.2649981141090393,64.0,1.0,0.4,adam,0
0.8043887138366699,0.011281388563833542,0.5131723761558533,64.0,1.0,0.4,sgd,0
0.9015673875808716,0.00430328111652477,0.2665455162525177,64.0,1.0,0.5,adam,0
0.8144200682640076,0.015136742400861974,0.5078859925270081,64.0,1.0,0.5,sgd,0
0.9011494159698487,0.0035342706652023766,0.2656350016593933,64.0,1.0,0.6,adam,0
0.8073145151138306,0.0176045410111906,0.5124071657657623,64.0,1.0,0.6,sgd,0
0.9021943569183349,0.0076672618406702945,0.26253471076488494,64.0,0.1,0.1,adam,0
0.8110762953758239,0.021172708313519823,0.5095059990882873,64.0,0.1,0.1,sgd,0
0.9001044869422913,0.00543363094329834,0.2666386365890503,64.0,0.1,0.2,adam,0
0.8146290421485901,0.01933097199706662,0.5048728823661804,64.0,0.1,0.2,sgd,0
0.9001044869422913,0.0029995105904943326,0.2638449460268021,64.0,0.1,0.30000000000000004,adam,0
0.8041797280311584,0.013903494579926692,0.5148627281188964,64.0,0.1,0.30000000000000004,sgd,0
0.9013584017753601,0.011246502384730192,0.2654931753873825,64.0,0.1,0.4,adam,0
0.8,0.012876010065263852,0.516331422328949,64.0,0.1,0.4,sgd,0
0.9013584017753601,0.003408455338830839,0.262477445602417,64.0,0.1,0.5,adam,0
0.8081504821777343,0.020482798746445582,0.5095636248588562,64.0,0.1,0.5,sgd,0
0.9032392859458923,0.005270437076604984,0.2620661795139313,64.0,0.1,0.6,adam,0
0.8102403283119202,0.006528947792285428,0.5092256188392639,64.0,0.1,0.6,sgd,0
0.9007314443588257,0.002089858055114746,0.26476384699344635,64.0,0.01,0.1,adam,0
0.8068965673446655,0.013963046750730684,0.5108226537704468,64.0,0.01,0.1,sgd,0
0.8965517163276673,0.006475205668322956,0.26928406953811646,64.0,0.01,0.2,adam,0
0.807523512840271,0.015205811096484235,0.5125264942646026,64.0,0.01,0.2,sgd,0
0.9028213143348693,0.0038535304773297703,0.261621767282486,64.0,0.01,0.30000000000000004,adam,0
0.8131661415100098,0.01903268576705902,0.5047305524349213,64.0,0.01,0.30000000000000004,sgd,0
0.9009404301643371,0.0023271674405282287,0.26473320722579957,64.0,0.01,0.4,adam,0
0.8171368718147278,0.010999110581732587,0.5076771914958954,64.0,0.01,0.4,sgd,0
0.8965517282485962,0.0016187970886793667,0.2647984027862549,64.0,0.01,0.5,adam,0
