avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,l2_regulizer,dropout_rate,optimizer,num_layers
0.948458194732666,0.006952235616450263,0.18041234612464904,64.0,1.0,0.1,adam,0
0.9265361666679383,0.008873492412379844,0.346212762594223,64.0,1.0,0.1,sgd,0
0.9475263237953186,0.005282626524330659,0.1765143096446991,64.0,1.0,0.2,adam,0
0.9270058870315552,0.009876556115467745,0.3491790950298309,64.0,1.0,0.2,sgd,0
0.9486923933029174,0.0038551138256016763,0.17880277037620546,64.0,1.0,0.30000000000000004,adam,0
0.9258376836776734,0.008315160328490098,0.3437427282333374,64.0,1.0,0.30000000000000004,sgd,0
0.9498587012290954,0.0030635048699115975,0.17830331027507781,64.0,1.0,0.4,adam,0
0.9223406314849854,0.01042003408006165,0.3503508925437927,64.0,1.0,0.4,sgd,0
0.9470601320266724,0.005511338752438129,0.17807871103286743,64.0,1.0,0.5,adam,0
0.9221078038215638,0.010921651002669243,0.3509133219718933,64.0,1.0,0.5,sgd,0
0.947292160987854,0.004887970094098617,0.17827460467815398,64.0,1.0,0.6,adam,0
0.9284044981002808,0.009714789589115338,0.3423219084739685,64.0,1.0,0.6,sgd,0
0.9477589011192322,0.00482703489813728,0.17884227335453035,64.0,0.1,0.1,adam,0
0.9279366612434388,0.010732808883446401,0.3423315346240997,64.0,0.1,0.1,sgd,0
0.9484598159790039,0.002718114838004896,0.17937730252742767,64.0,0.1,0.2,adam,0
0.9253701090812683,0.009556097650587146,0.3433308720588684,64.0,0.1,0.2,sgd,0
0.9442602157592773,0.005519429109592096,0.18683462738990783,64.0,0.1,0.30000000000000004,adam,0
0.9249050140380859,0.009644559895664226,0.342623108625412,64.0,0.1,0.30000000000000004,sgd,0
0.9465931296348572,0.003888656891658612,0.1836048424243927,64.0,0.1,0.4,adam,0
0.926538062095642,0.007120412182093298,0.339692485332489,64.0,0.1,0.4,sgd,0
0.9475263237953186,0.004505473036121197,0.17828206717967987,64.0,0.1,0.5,adam,0
0.9235094070434571,0.011841911638172026,0.3473112165927887,64.0,0.1,0.5,sgd,0
0.9451953291893005,0.005667556865624568,0.1813967376947403,64.0,0.1,0.6,adam,0
0.9249014616012573,0.013214478022138177,0.3589643001556396,64.0,0.1,0.6,sgd,0
0.9503243565559387,0.004039125068738977,0.17722876965999604,64.0,0.01,0.1,adam,0
0.9246727228164673,0.006947790913591201,0.34109110832214357,64.0,0.01,0.1,sgd,0
0.949624502658844,0.006629193392136923,0.17658639550209046,64.0,0.01,0.2,adam,0
0.9260726809501648,0.010283474222959344,0.3381109595298767,64.0,0.01,0.2,sgd,0
0.9489246606826782,0.0064684590776707485,0.17786453366279603,64.0,0.01,0.30000000000000004,adam,0
0.9239707112312316,0.007988539039891189,0.3549663841724396,64.0,0.01,0.30000000000000004,sgd,0
0.9456612586975097,0.003444188104861935,0.18039827644824982,64.0,0.01,0.4,adam,0
0.9228062868118286,0.009407095385153587,0.3481074094772339,64.0,0.01,0.4,sgd,0
0.9486926436424256,0.004619769115571469,0.17873568534851075,64.0,0.01,0.5,adam,0
0.9272357225418091,0.009876673755630344,0.34415009021759035,64.0,0.01,0.5,sgd,0
0.947761070728302,0.002380031977552135,0.18472789824008942,64.0,0.01,0.6,adam,0
0.9223389983177185,0.013744421317097832,0.3474606931209564,64.0,0.01,0.6,sgd,0
0.9456615328788758,0.004345980254903826,0.1808852046728134,64.0,0.001,0.1,adam,0
0.9237373232841491,0.008956243739553804,0.3458433151245117,64.0,0.001,0.1,sgd,0
0.9458935499191284,0.0035368394736256816,0.18270106017589569,64.0,0.001,0.2,adam,0
0.9239704132080078,0.012949643119471131,0.35818877816200256,64.0,0.001,0.2,sgd,0
0.9475279569625854,0.005614894009357069,0.17885273993015288,64.0,0.001,0.30000000000000004,adam,0
0.9246719002723693,0.008999636703574284,0.34589421153068545,64.0,0.001,0.30000000000000004,sgd,0
0.9493930578231812,0.0019110133037749907,0.18151004910469054,64.0,0.001,0.4,adam,0
0.9244398951530457,0.01178276952618084,0.34555466175079347,64.0,0.001,0.4,sgd,0
0.9479911923408508,0.006566003382857407,0.17887431085109712,64.0,0.001,0.5,adam,0
0.9267703533172608,0.006674664565858499,0.3431553304195404,64.0,0.001,0.5,sgd,0
0.9482264399528504,0.003024459534874267,0.17882977724075316,64.0,0.001,0.6,adam,0
0.9230377435684204,0.013635108595610455,0.3444914698600769,64.0,0.001,0.6,sgd,0
0.9470590472221374,0.005219989539887553,0.1806994080543518,64.0,0.0001,0.1,adam,0
0.9202389240264892,0.011626073581053943,0.3460779309272766,64.0,0.0001,0.1,sgd,0
0.9477591633796691,0.004767223022595558,0.17798170149326326,64.0,0.0001,0.2,adam,0
0.9246729731559753,0.007828437003915318,0.34743374586105347,64.0,0.0001,0.2,sgd,0
0.9491593956947326,0.003110699538791059,0.1772148460149765,64.0,0.0001,0.30000000000000004,adam,0
0.9265364289283753,0.010394137903496052,0.34697144031524657,64.0,0.0001,0.30000000000000004,sgd,0
0.9456612586975097,0.0026404827963401193,0.18173254132270814,64.0,0.0001,0.4,adam,0
0.9286348819732666,0.009704354242124397,0.3432166337966919,64.0,0.0001,0.4,sgd,0
0.9463586568832397,0.00813565794024953,0.17808066606521605,64.0,0.0001,0.5,adam,0
0.9244385361671448,0.00972118139964823,0.33299932479858396,64.0,0.0001,0.5,sgd,0
