avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,l2_regulizer,dropout_rate,optimizer,num_layers,num_conv,filter_in_conv1
0.9449605941772461,0.0049920211767376125,0.18048792481422424,64.0,1.0,0.1,adam,0,0,16.0
0.922572112083435,0.008417057710256904,0.3436854600906372,64.0,1.0,0.1,sgd,0,0,16.0
0.9498578786849976,0.0046292829830387365,0.17560992240905762,64.0,1.0,0.2,adam,0,0,16.0
0.9274691104888916,0.009449539025272848,0.34450176954269407,64.0,1.0,0.2,sgd,0,0,16.0
0.9472910523414612,0.007948159043728111,0.17923582196235657,64.0,1.0,0.30000000000000004,adam,0,0,16.0
0.9251375675201416,0.01093737526506574,0.3382171273231506,64.0,1.0,0.30000000000000004,sgd,0,0,16.0
0.9454268097877503,0.004714816583062447,0.1816967248916626,64.0,1.0,0.4,adam,0,0,16.0
0.9272381901741028,0.011903435418634586,0.33664782643318175,64.0,1.0,0.4,sgd,0,0,16.0
0.9463589310646057,0.005973174750086097,0.17903589308261872,64.0,1.0,0.5,adam,0,0,16.0
0.9253701210021973,0.00989035009615609,0.3371746361255646,64.0,1.0,0.5,sgd,0,0,16.0
0.9491593956947326,0.005254031348700044,0.1775322824716568,64.0,1.0,0.6,adam,0,0,16.0
0.9242048978805542,0.007858297529918337,0.34481972455978394,64.0,1.0,0.6,sgd,0,0,16.0
0.9477605223655701,0.002712393528868101,0.18354427218437194,64.0,0.1,0.1,adam,0,0,16.0
0.9244385242462159,0.009996534906660703,0.34676342010498046,64.0,0.1,0.1,sgd,0,0,16.0
0.9482261776924134,0.004416388834475876,0.18214938342571257,64.0,0.1,0.2,adam,0,0,16.0
0.9223362922668457,0.013171313025692287,0.34693029522895813,64.0,0.1,0.2,sgd,0,0,16.0
0.946594750881195,0.004572461748126966,0.18078379034996034,64.0,0.1,0.30000000000000004,adam,0,0,16.0
0.9235039591789246,0.009345480241214357,0.351517391204834,64.0,0.1,0.30000000000000004,sgd,0,0,16.0
0.9451926112174988,0.007436658056434945,0.18428305983543397,64.0,0.1,0.4,adam,0,0,16.0
0.9239704251289368,0.01109584532237033,0.341402006149292,64.0,0.1,0.4,sgd,0,0,16.0
0.9468283891677857,0.005243755017693861,0.18429177701473237,64.0,0.1,0.5,adam,0,0,16.0
0.9263065934181214,0.01138090966142902,0.34237375259399416,64.0,0.1,0.5,sgd,0,0,16.0
0.9475268840789794,0.003848535132484713,0.18260432183742523,64.0,0.1,0.6,adam,0,0,16.0
0.926538062095642,0.005383772389128308,0.3434837222099304,64.0,0.1,0.6,sgd,0,0,16.0
0.9493916869163513,0.004037813143209551,0.17617646753787994,64.0,0.01,0.1,adam,0,0,16.0
0.9272381782531738,0.006245819862770558,0.33758949637413027,64.0,0.01,0.1,sgd,0,0,16.0
0.9456615209579468,0.0027362975039733665,0.18545062243938445,64.0,0.01,0.2,adam,0,0,16.0
0.9239742398262024,0.012928277292245728,0.3470627784729004,64.0,0.01,0.2,sgd,0,0,16.0
0.9482261776924134,0.003449266604224792,0.17851104140281676,64.0,0.01,0.30000000000000004,adam,0,0,16.0
0.9237384080886841,0.007344304256401872,0.34371994733810424,64.0,0.01,0.30000000000000004,sgd,0,0,16.0
0.9435633659362793,0.0030045355869979503,0.18694043457508086,64.0,0.01,0.4,adam,0,0,16.0
0.9230396747589111,0.011017631820458177,0.34963464736938477,64.0,0.01,0.4,sgd,0,0,16.0
0.9472937703132629,0.004272750782594599,0.18367652595043182,64.0,0.01,0.5,adam,0,0,16.0
0.9228071093559265,0.0027207160962837316,0.35169745683670045,64.0,0.01,0.5,sgd,0,0,16.0
0.944961953163147,0.0017364979457248969,0.1839198350906372,64.0,0.01,0.6,adam,0,0,16.0
0.9246691823005676,0.011561676195151659,0.34698923826217654,64.0,0.01,0.6,sgd,0,0,16.0
0.9456612586975097,0.003023329297066356,0.18007563352584838,64.0,0.001,0.1,adam,0,0,16.0
0.9197762608528137,0.010143373992129254,0.3552566409111023,64.0,0.001,0.1,sgd,0,0,16.0
0.9456612586975097,0.002188851814267599,0.17935365736484526,64.0,0.001,0.2,adam,0,0,16.0
0.9202397465705872,0.01126446373838579,0.34790538549423217,64.0,0.001,0.2,sgd,0,0,16.0
0.9444960355758667,0.00440116005132589,0.18632223606109619,64.0,0.001,0.30000000000000004,adam,0,0,16.0
0.9277038335800171,0.008887808178016286,0.3504297733306885,64.0,0.001,0.30000000000000004,sgd,0,0,16.0
0.9482250809669495,0.0065170279974860945,0.1783661425113678,64.0,0.001,0.4,adam,0,0,16.0
0.9249069094657898,0.008646129947858591,0.3394166648387909,64.0,0.001,0.4,sgd,0,0,16.0
