avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,num_units_in_layer2,l2_regulizer,dropout_rate,optimizer,num_layers
0.7995820283889771,0.09194073208301891,0.5235698282718658,64.0,64.0,1.0,0.1,adam,1
0.5970741987228394,0.010503511182468317,1.0039282321929932,64.0,64.0,1.0,0.1,sgd,1
0.7063740849494934,0.05012624512902942,0.59909987449646,64.0,64.0,1.0,0.2,adam,1
0.5981191277503968,0.012339040118319709,1.093053364753723,64.0,64.0,1.0,0.2,sgd,1
0.8025078415870667,0.06364657294357527,0.5343605160713196,64.0,64.0,1.0,0.30000000000000004,adam,1
0.5981191277503968,0.012374385333405812,1.2038478016853333,64.0,64.0,1.0,0.30000000000000004,sgd,1
0.7661442041397095,0.0970390386136645,0.557766717672348,64.0,64.0,1.0,0.4,adam,1
0.599582028388977,0.013024385496654495,1.1387517690658568,64.0,64.0,1.0,0.4,sgd,1
0.7312434554100037,0.0553849447335,0.5912915706634522,64.0,64.0,1.0,0.5,adam,1
0.5979101419448852,0.009811236449546366,1.1613703489303588,64.0,64.0,1.0,0.5,sgd,1
0.7665621638298035,0.06443292379865022,0.582716453075409,64.0,64.0,1.0,0.6,adam,1
0.5977011561393738,0.011389272220369052,1.0649399876594543,64.0,64.0,1.0,0.6,sgd,1
0.8683385491371155,0.05407057347636382,0.3879197180271149,64.0,64.0,0.1,0.1,adam,1
0.8252873659133911,0.013157857002644978,1.9448819398880004,64.0,64.0,0.1,0.1,sgd,1
0.8877743005752563,0.010931401379667437,0.3699568212032318,64.0,64.0,0.1,0.2,adam,1
0.8188087701797485,0.02574521613246645,1.940976047515869,64.0,64.0,0.1,0.2,sgd,1
0.8691745042800904,0.02968342085140662,0.38717164397239684,64.0,64.0,0.1,0.30000000000000004,adam,1
0.8213166117668151,0.014614115527372056,1.9563404083251954,64.0,64.0,0.1,0.30000000000000004,sgd,1
0.8831766009330749,0.016434370903645176,0.3856492817401886,64.0,64.0,0.1,0.4,adam,1
0.8146290421485901,0.031001925213252058,1.9591987133026123,64.0,64.0,0.1,0.4,sgd,1
0.8672936201095581,0.0426455281543697,0.40364015102386475,64.0,64.0,0.1,0.5,adam,1
0.8050156950950622,0.017777368673830403,2.1169420957565306,64.0,64.0,0.1,0.5,sgd,1
0.8858934044837952,0.017339569927093335,0.40100802183151246,64.0,64.0,0.1,0.6,adam,1
0.807941484451294,0.014409462978885151,1.9574659824371339,64.0,64.0,0.1,0.6,sgd,1
0.9088819265365601,0.009143003692836826,0.2741031229496002,64.0,64.0,0.01,0.1,adam,1
0.8349007368087769,0.009109515621630895,1.3178472757339477,64.0,64.0,0.01,0.1,sgd,1
0.9107627987861633,0.005859085390618227,0.2742736876010895,64.0,64.0,0.01,0.2,adam,1
0.8242424249649047,0.01988558290712049,1.3379639863967896,64.0,64.0,0.01,0.2,sgd,1
0.9053291440010071,0.01268808034431549,0.2866383850574493,64.0,64.0,0.01,0.30000000000000004,adam,1
0.8273772358894348,0.02350888194572544,1.332144021987915,64.0,64.0,0.01,0.30000000000000004,sgd,1
0.8973876714706421,0.010927414164016038,0.29989056587219237,64.0,64.0,0.01,0.4,adam,1
0.8252873539924621,0.013726452354827194,1.343441915512085,64.0,64.0,0.01,0.4,sgd,1
0.909299886226654,0.00815850266256134,0.2865451753139496,64.0,64.0,0.01,0.5,adam,1
0.8236154675483703,0.014753925485576608,1.3407601833343505,64.0,64.0,0.01,0.5,sgd,1
0.9059561133384705,0.0065756094855702885,0.2956239581108093,64.0,64.0,0.01,0.6,adam,1
0.8219435811042786,0.0094298928770311,1.353755784034729,64.0,64.0,0.01,0.6,sgd,1
0.9059561014175415,0.011822066674103984,0.2651699066162109,64.0,64.0,0.001,0.1,adam,1
0.8259142994880676,0.016397122314964225,0.5623893022537232,64.0,64.0,0.001,0.1,sgd,1
0.9124346852302552,0.007886298488389938,0.25626380145549776,64.0,64.0,0.001,0.2,adam,1
0.8296760797500611,0.016784087749557936,0.5639116883277893,64.0,64.0,0.001,0.2,sgd,1
0.9082549571990967,0.0060353351090208516,0.2607082545757294,64.0,64.0,0.001,0.30000000000000004,adam,1
0.8196447372436524,0.0120525495295708,0.5749793648719788,64.0,64.0,0.001,0.30000000000000004,sgd,1
0.9143155694007874,0.009133441382381235,0.2511626183986664,64.0,64.0,0.001,0.4,adam,1
0.8160919427871705,0.021998233621019454,0.5867517232894898,64.0,64.0,0.001,0.4,sgd,1
0.9086729288101196,0.00905178816408322,0.2611005812883377,64.0,64.0,0.001,0.5,adam,1
0.8140020966529846,0.017646671662867326,0.6024380803108216,64.0,64.0,0.001,0.5,sgd,1
0.9113897681236267,0.006283511326960854,0.25092054307460787,64.0,64.0,0.001,0.6,adam,1
0.8094043970108032,0.014090708460811785,0.5992357492446899,64.0,64.0,0.001,0.6,sgd,1
0.9174503564834595,0.011195909463550518,0.21759630739688873,64.0,64.0,0.0001,0.1,adam,1
0.837617552280426,0.024891327530995534,0.47505590319633484,64.0,64.0,0.0001,0.1,sgd,1
0.917241382598877,0.01106643838452864,0.21718944609165192,64.0,64.0,0.0001,0.2,adam,1
0.834482753276825,0.010461864297111658,0.4780852198600769,64.0,64.0,0.0001,0.2,sgd,1
0.9172413587570191,0.008525010242047024,0.2166711151599884,64.0,64.0,0.0001,0.30000000000000004,adam,1
0.8369906067848205,0.019771041727236118,0.46949303150177,64.0,64.0,0.0001,0.30000000000000004,sgd,1
0.9155694723129273,0.009332126854913008,0.2172096699476242,64.0,64.0,0.0001,0.4,adam,1
0.8267502665519715,0.032640708787501006,0.4890291213989258,64.0,64.0,0.0001,0.4,sgd,1
0.9174503564834595,0.011858950710706527,0.21688802540302277,64.0,64.0,0.0001,0.5,adam,1
