avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,num_units_in_layer2,num_units_in_layer3,l2_regulizer,dropout_rate,optimizer,num_layers
0.5962382555007935,0.010165418166026,0.6746826887130737,64.0,64.0,64.0,1.0,0.1,adam,2
0.5962382555007935,0.010165418166026,1.5510305643081663,64.0,64.0,64.0,1.0,0.1,sgd,2
0.5962382555007935,0.010165418166026,0.6747712016105651,64.0,64.0,64.0,1.0,0.2,adam,2
0.5962382555007935,0.010165418166026,1.6247641324996949,64.0,64.0,64.0,1.0,0.2,sgd,2
0.5962382555007935,0.010165418166026,0.6746095657348633,64.0,64.0,64.0,1.0,0.3,adam,2
0.5962382555007935,0.010165418166026,1.59786696434021,64.0,64.0,64.0,1.0,0.3,sgd,2
0.5962382555007935,0.010165418166026,0.6746309280395508,64.0,64.0,64.0,1.0,0.4,adam,2
0.5962382555007935,0.010165418166026,1.5179256677627564,64.0,64.0,64.0,1.0,0.4,sgd,2
0.5962382555007935,0.010165418166026,0.6747283935546875,64.0,64.0,64.0,1.0,0.5,adam,2
0.5962382555007935,0.010165418166026,1.670794177055359,64.0,64.0,64.0,1.0,0.5,sgd,2
0.5962382555007935,0.010165418166026,0.6747071146965027,64.0,64.0,64.0,1.0,0.6,adam,2
0.5962382555007935,0.010165418166026,1.3678881645202636,64.0,64.0,64.0,1.0,0.6,sgd,2
0.8990595579147339,0.0057461596375659,0.3800736010074615,64.0,64.0,64.0,0.1,0.1,adam,2
0.6298850417137146,0.0258282031136681,10.592762184143066,64.0,64.0,64.0,0.1,0.1,sgd,2
0.8890282154083252,0.0229638043542817,0.3973778963088989,64.0,64.0,64.0,0.1,0.2,adam,2
0.6367816090583801,0.0266127518702396,8.342453384399414,64.0,64.0,64.0,0.1,0.2,sgd,2
0.88672935962677,0.007105543332954,0.4143595278263092,64.0,64.0,64.0,0.1,0.3,adam,2
0.6096133708953857,0.0156753702302332,8.772709083557128,64.0,64.0,64.0,0.1,0.3,sgd,2
0.889864158630371,0.0286898048074074,0.4041867196559906,64.0,64.0,64.0,0.1,0.4,adam,2
0.5997910261154175,0.0110189511257068,10.356714820861816,64.0,64.0,64.0,0.1,0.4,sgd,2
0.8900731325149536,0.0193173904900677,0.4139433920383453,64.0,64.0,64.0,0.1,0.5,adam,2
0.6037617564201355,0.0150470066401704,10.337127113342286,64.0,64.0,64.0,0.1,0.5,sgd,2
0.8783699035644531,0.0306334468850378,0.45122971534729,64.0,64.0,64.0,0.1,0.6,adam,2
0.5979101419448852,0.0098334689371533,10.071404075622558,64.0,64.0,64.0,0.1,0.6,sgd,2
0.9072100281715392,0.0100964433932297,0.2834963858127594,64.0,64.0,64.0,0.01,0.1,adam,2
0.8363636493682861,0.0073472917867685,1.839050245285034,64.0,64.0,64.0,0.01,0.1,sgd,2
0.9051201581954956,0.004303295010924,0.2942805767059326,64.0,64.0,64.0,0.01,0.2,adam,2
0.8211076259613037,0.0152058238759585,1.8660354137420652,64.0,64.0,64.0,0.01,0.2,sgd,2
0.909299898147583,0.0104158256631855,0.294917893409729,64.0,64.0,64.0,0.01,0.3,adam,2
0.7632183909416199,0.0794989301009914,1.9597529172897337,64.0,64.0,64.0,0.01,0.3,sgd,2
0.9040752410888672,0.009332127121873,0.3040519416332244,64.0,64.0,64.0,0.01,0.4,adam,2
